Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Haven,WOL,SiuFatBB,tejo,140,12,14,7,,True,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Icebox,FPX,yosemite,viper,308,20,8,9,,True,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,FPX,AAAAY,gekko,252,18,9,7,,True,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,FPX,Autumn,vyse,216,16,10,2,,True,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,FPX,Life,jett,193,13,11,3,,True,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,FPX,Shr1mp,tejo,184,12,13,5,,True,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,TEC,Rb,tejo,192,11,17,4,,False,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,TEC,Abo,deadlock,170,11,16,4,,False,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,TEC,Coco,gekko,165,12,15,2,,False,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,TEC,Haodong,viper,155,9,15,3,,False,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Icebox,TEC,TvirusLuke,waylay,137,8,16,3,,False,13‑5,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,FPX,yosemite,vyse,293,20,11,11,,True,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,FPX,Life,neon,246,17,15,8,,True,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,FPX,AAAAY,omen,238,18,7,8,,True,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,FPX,Shr1mp,tejo,234,19,9,2,,True,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,FPX,Autumn,viper,177,11,15,9,,True,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,TEC,Haodong,omen,222,16,16,4,,False,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,TEC,Rb,neon,177,12,17,3,,False,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,TEC,Abo,vyse,171,9,18,5,,False,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,TEC,TvirusLuke,waylay,166,10,17,2,,False,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Haven,TEC,Coco,sova,159,10,17,3,,False,13‑6,2025-03-16,6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Ascent,NOVA,CB,tejo,306,24,14,8,,True,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,NOVA,o0o0o,breach,203,17,18,12,,True,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,NOVA,Ezeir,omen,201,17,17,5,,True,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,NOVA,GuanG,killjoy,200,18,18,2,,True,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,NOVA,OBONE,yoru,125,11,17,2,,True,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,EDG,S1Mon,kayo,273,25,19,8,,False,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,EDG,ZmjjKK,jett,233,19,19,8,,False,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,EDG,nobody,sova,207,17,17,6,,False,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,EDG,CHICHOO,vyse,193,16,14,8,,False,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Ascent,EDG,Smoggy,omen,96,7,18,16,,False,13‑11,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,NOVA,GuanG,cypher,263,21,16,6,,True,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,NOVA,Ezeir,tejo,249,20,15,7,,True,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,NOVA,CB,neon,242,17,15,7,,True,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,NOVA,OBONE,brimstone,210,16,13,13,,True,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
